SampleIDX,obs_class,null_class,obs_u,obs_v,obs_x,obs_y,null_u,null_v,null_x,null_y,delta_y
P5-21,0,1,0.08019531286780626,0.9871648446502329,0.9904169418579651,0.8967911941669334,0.8200791093414544,0.5722501676904314,1.0,0.2242825263268961,0.6725086678400374
P5-22,0,0,0.9543213738531642,0.0263839044878788,0.9546860190706765,0.9648080023091402,0.9385277131603028,0.3452038986310735,1.0,0.5512390446544504,0.4135689576546898
P5-23,2,0,0.7035728782265024,0.003683284068477287,0.7035825193660328,0.9933345070089205,0.9354807180170435,0.353377738713571,1.0,0.5401321678058841,0.4532023392030363
P5-24,0,1,0.04736340744620868,0.8277506831031137,0.8291046289477505,0.9272253354732876,0.5813551357196295,0.8136499285149672,1.0,0.21009083962849387,0.7171344958447937
P5-25,2,1,0.6069584942691992,0.3147839137571862,0.683730594697813,0.39083581691106056,0.9021149690480034,0.4314957504072547,1.0,0.43194396158220943,-0.04110814467114887
P5-26,0,1,0.2462662171314722,0.8193825232733323,0.8555903044951002,0.6282621808687013,0.8429458361298913,0.5379984361978001,0.9999999999999999,0.276722502284057,0.35153967858464436
P5-27,0,1,-0.0,0.8993027740742736,0.8993027740742736,1.0,0.8846297440513635,0.4662941302864739,1.0,0.3823553747708775,0.6176446252291226
P5-28,0,1,0.07089573282702366,0.9969865880753725,0.9995041079131457,0.909612062862858,0.44619604279208713,0.8949352442476952,0.9999999999999999,0.41111362977338967,0.49849843308946834
P5-29,0,1,0.9952299338971198,0.06113883416281906,0.9971061018606064,0.9218806881792165,0.8248252456039505,0.5653877556282791,1.0,0.2349061758931868,0.6869745122860298
P5-30,0,1,0.9966414378402761,-0.0,0.9966414378402761,1.0,0.7378978545970901,0.6749124063024856,0.9999999999999999,0.056725590653357465,0.9432744093466425
P5-31,1,1,0.6907820597596565,0.43522896517757426,0.8164582697329581,0.28415375289102196,0.8640058135727301,0.5034818309656517,1.0000000000000002,0.3282083403926993,-0.044054587501677345
P5-32,1,1,0.689927813336576,0.3438718642610195,0.7708749876897929,0.4112788132156658,0.8580713152277664,0.5135305424055039,0.9999999999999999,0.31334922479127053,0.09792958842439525
P5-33,0,1,0.23946511158441752,0.9481488493079907,0.9779211522971596,0.6850167672042534,0.41111382224813287,0.9115840198009894,0.9999999999999999,0.4605594978325921,0.22445726937166133
P5-34,2,1,0.5439600849967737,0.0765100183447186,0.5493144427163794,0.8220812579868347,0.7970070659551648,0.6039699800631979,1.0,0.1743386934494963,0.6477425645373385
P5-35,2,1,0.5261532589795205,0.041419675540907315,0.5277810544692604,0.8999747089784008,0.703172186017937,0.7110196036754234,1.0,0.007065194414429693,0.8929095145639712
P5-36,0,0,0.8891413531831471,-0.0,0.8891413531831471,1.0,0.25417347779144034,0.9671586442706305,0.9999999999999999,0.6727863253897817,0.32721367461021833
P5-37,0,1,0.8600376911481309,0.18197442087560303,0.8790787905804683,0.7345123828659567,0.4993161802170202,0.8664198475182133,0.9999999999999999,0.3343384633289751,0.40017391953698156
P5-38,0,0,0.760865131023785,-0.0,0.760865131023785,1.0,0.2605788775125772,0.9654525615452502,0.9999999999999999,0.6643463677437877,0.33565363225621225
P5-40,0,1,0.834175482257528,0.10148660105450276,0.8403262850781089,0.8458539842274674,0.509339207534379,0.8605658438889211,1.0,0.3195594509522386,0.5262945332752288
P5-41,0,0,0.9999244065598326,-0.0,0.9999244065598326,1.0,0.9462646079743398,0.3233934008219235,1.0,0.5807051545857692,0.4192948454142308
P5-43,2,0,0.06470080865395697,0.07412672955778958,0.0983919035053679,0.08631618910812741,0.9309608463742717,0.36511902513851535,1.0,0.5241131578651523,-0.4377969687570249
P5-44,0,1,0.9465487100963544,0.1590361633432344,0.9598161083436808,0.7880538556296042,0.44857014169772536,0.8937476310331025,1.0,0.4077337183576049,0.38032013727199926
P5-45,0,1,0.9505853877321558,0.03616656577349341,0.9512731468141742,0.9515808864595764,0.45588952956028284,0.890036368266659,0.9999999999999999,0.397284827941718,0.5542960585178585
P5-46,0,1,0.9926241788745521,0.004063220449181655,0.99263249505887,0.9947881341501035,0.8240247435736757,0.5665538120764329,1.0,0.23310532203331855,0.7616828121167849
P5-48,2,1,0.03962025560119247,0.6039809234065159,0.6052790434939008,0.9165968638686488,0.46156567472105264,0.8871060409665237,1.0,0.3891514697287705,0.5274453941398782
P5-96,0,1,0.9948038610293453,-0.0,0.9948038610293453,1.0,0.5407793524848419,0.8411644856543071,1.0,0.27251758848087476,0.7274824115191252
P5-95,0,1,0.9652009257834696,0.11260911100415655,0.9717477239563843,0.8521208472966841,0.5915278481107993,0.8062845681950059,1.0,0.1940999097887113,0.6580209375079729
P5-94,0,1,0.9857083902654861,1.3102385093914935e-05,0.9857083903525669,0.999983075648949,0.4682871540092995,0.8835763359155058,1.0,0.3794851261368365,0.6204979495121125
